Designator,Mid X,Mid Y,Layer,Rotation
C1,0.4,11.5,Top,180
C2,9.4,13,Top,270
C3,6,22.3,Top,180
C4,5.1,7.8,Top,90
C5,10,25.4,Top,270
C6,7.8,7.8,Top,90
C7,10,7.8,Top,270
C20,0.2,13.7,Top,0
D1,-5,16.3,Top,90
D4,-8.4,16.4,Top,270
F2,1.1,6.6,Top,0
FB1,6.5,12.6,Top,180
Q1,1.2,21.9,Top,90
R1,10,17.2,Top,270
R2,-5,13.9,Top,0
R3,-2.2,17.7,Top,270
R6,-0.1,18.7,Top,180
R7,-0.1,15.5,Top,180
R8,-0.1,17.1,Top,180
R21,-5,15.1,Top,0
U1,5.9,17.2,Top,90
U2,7.5,25.5,Top,0
J2,-2.6,30.2,Top,0
j3,-5.1,22,Top,0
